hurs(1),clwvi(1),psl(1),tas(1),va0(2),ua2(4)
76.80928802,0.033135168,102031.4219,276.007782,1.74198842,3.01396966
50.47924805,0.041440178,101326.5156,282.3942261,1.788913131,2.867210388
36.26221466,0.018183833,100921.0078,290.192688,0.951770186,-0.175566792
34.25852966,0.007295117,100839.3438,293.7574463,0.204649523,-1.590847731
38.15361023,0.01257974,100360.5469,295.8855896,-0.33355391,-4.688003063
43.92541122,0.001665068,100704.2813,293.5823364,-0.312012434,-4.470348358
36.37427139,0.019629467,101277.5625,292.0414734,0.564708173,-2.557873011
63.9055748,0.045687679,101877.6172,281.8450928,1.765534639,3.51045537
71.38623047,0.070298299,102237.5078,276.1274109,2.794069052,5.22636652
87.11927795,0.063565977,102631.9063,262.9238586,2.709718943,6.342800617
89.39841461,0.038500316,102555.9141,262.1552734,1.818753481,7.260558605
85.16614532,0.041619897,102404.5781,264.6992493,2.466384411,1.36190927
81.51815033,0.076545246,101700.7578,273.6647949,1.434604168,2.518080473
57.80330658,0.047582079,101404.0078,280.403656,2.313024759,4.422803402
41.86751175,0.043476816,100927.1953,287.4040833,1.442023039,1.114821315
42.12774658,0.00924841,100922.8203,292.8895264,0.706350029,0.315544248
36.56952286,0.003768421,100643.2266,296.6192322,-0.580246925,-3.930861473
42.98258209,0.028088249,100738.7266,295.6747437,-0.269827873,-2.844204426
42.66318893,0.002416532,101287.6172,291.4659729,0.020210559,-1.338170171
58.03926086,0.039548635,101678.1797,284.5802917,2.419274092,3.286118984
75.0938797,0.050922308,102301.7891,273.7583313,2.161599874,5.322942734
80.04093933,0.07009922,102378.8828,269.9318237,3.295505047,6.97693491
90.70330811,0.113813497,102224.7813,267.9802246,4.251281738,9.208061218
78.21118927,0.038533308,102225.9688,267.6058044,2.989792347,4.373678684
78.07237244,0.065249227,102127.5859,272.7835999,1.87040019,5.710512638
74.12615967,0.077395089,101114.7109,277.5918579,3.016050577,5.089482307
39.56041718,0.029260566,101236.6719,289.2998962,1.229760885,-1.677776814
30.25190163,0.014198351,100652.7109,296.6540527,-0.402709574,-1.834931135
40.07108307,0.005938589,100415.1484,296.7464294,-1.159084558,-3.168060303
38.70570374,0.016636679,100728.7422,295.101532,0.162241548,-4.492179394
43.05089569,0.010039032,101322.6641,291.2472534,-0.148009628,-1.959736228
53.39365387,0.041884996,101650.5313,285.4448853,0.847780228,-0.150372878
69.60539246,0.036370426,102384.0078,273.3660583,1.794306755,6.382830143
84.04730988,0.034427885,102648.7578,262.6190186,1.179274917,3.674711704
85.38285828,0.051227257,102558.7031,263.6685181,1.493478417,5.790676594
80.66437531,0.033356395,102310.6797,266.0242004,1.174131155,4.612402439
72.77542877,0.045867108,102364.3203,270.8085022,1.388290405,4.732418537
58.06628418,0.050798368,101389.0469,282.273468,1.536651373,-1.643666983
43.21757507,0.033633161,101047.1563,288.9605713,1.689622164,-1.780124903
32.4916687,0.009086343,100885.9141,295.0653381,0.200288728,-2.066581964
43.94570923,0.033088136,100296.6406,295.7601013,-0.243517563,-5.602750301
42.12679291,0.003711944,100621.8828,295.660553,-0.604881406,-4.159863949
47.93404388,0.011368631,101266.2188,291.1317444,0.761105955,-1.611749887
58.85965729,0.041158147,101929.8125,283.0469055,0.674973249,-1.204696536
81.10094452,0.074924909,102237.3281,273.2194519,1.414410591,0.977132797
86.3479538,0.066352367,102554.6406,267.1400452,0.826572001,0.693747938
85.57736206,0.054809924,102840.5859,260.6843872,1.985109687,4.953814983
84.59710693,0.024612999,102584.5625,262.2738342,1.028129578,3.340935469
73.98544312,0.049368523,101854.4453,275.5637207,3.021487713,5.393386364
52.43307495,0.022201223,101424.0234,283.2945862,1.415681601,1.544266224
43.00396729,0.03865644,101190.1719,287.5197144,1.851333141,0.800375283
37.2368927,0.009061585,100661.7109,293.1059875,0.915263236,-1.837197542
37.27413177,0.00852354,100727.9453,296.7349243,-0.590982676,-3.341333628
35.88722992,0.010511326,100547.5234,295.6993103,0.004739079,-4.327789307
40.11752319,0.008232432,101163.9922,291.5383301,0.042878062,-0.805926621
49.67414856,0.005000199,102023.0078,282.1898499,0.866015196,3.13256216
68.349823,0.039503586,102266.4922,277.0406799,1.265832663,1.644344211
83.75067139,0.072013259,102404.2344,267.8254395,2.394484997,5.077497959
84.68095398,0.082853302,102457.0391,266.5517883,3.07054162,5.400736809
85.17749786,0.076348647,102262.9609,265.3963928,2.72501111,4.016591549
81.5734024,0.086714081,101910.7266,272.7102356,1.977579594,2.802074909
73.72370148,0.051524732,101387.4766,278.0169067,1.690918803,1.561851144
41.74872208,0.027175605,100944.9609,286.7211304,1.90946579,-0.93498981
44.33196259,0.021101002,100908.0625,290.8561707,0.777612805,-0.693321407
37.02271271,0.003763622,100506.1406,296.6603088,0.229715139,-4.032470703
39.69129944,0.008482707,100677.8906,294.7266235,0.056505106,-2.861457586
42.3802948,0.00244253,101389.4453,291.5994263,0.149639457,0.506391764
52.85860825,0.007421932,101798.0469,284.5057983,0.881562173,1.137135506
68.18720245,0.040261365,102232.8516,276.4743347,1.904400468,4.763118744
88.80200958,0.078871906,102514.2031,271.3232422,2.077236176,5.459946632
79.37551117,0.041543271,102889.7656,265.2522888,1.961707354,6.831707001
74.70249939,0.021801447,102284.2656,266.5820007,1.277368665,1.789281011
76.24791718,0.057860762,102205.125,267.8080139,2.140941858,5.722367287
59.84323502,0.032455098,101403.2813,281.7807007,2.368618727,3.30491066
54.39847946,0.053848129,100912.7109,284.9698486,1.646220922,1.045268774
45.31883621,0.018079281,100649.2188,293.9909363,0.697065473,-2.617385149
33.43907928,0.001281886,100413.5391,296.8422546,0.045784734,-3.658220768
41.94343185,0.002898639,100743.625,294.3413696,-0.457076937,-3.070411921
42.90866852,0.004187608,101380.3281,291.2249451,0.074322522,-1.023717523
68.45007324,0.107995555,101663.0156,281.6682739,1.695586681,0.364852071
79.63005829,0.097891733,102210.8047,276.3776855,1.334379792,1.537960529
88.52384186,0.073675968,102673.5078,264.3035583,1.935766578,4.689902306
88.37745667,0.057379715,102588.9688,262.9866638,0.951022267,5.558188915
86.85066223,0.052597698,102279.5859,262.054657,2.845500708,6.983044147
78.72518158,0.038823087,102030.0938,270.8019714,2.332397461,4.106233597
81.2842865,0.045891128,101681.0313,279.7127686,0.651052296,-0.989745438
52.12960434,0.053966429,101206.8281,286.8753662,1.750313997,-0.476559043
52.55560684,0.035647985,100709.8281,292.1337585,0.649480462,-2.834410667
38.85898209,0.006699086,100367.3516,296.4966736,-0.387847751,-5.208600521
41.21500397,0.001230787,100722.8906,294.9169922,-0.588380933,-2.548687458
45.22571182,0.002789976,101197.9844,289.7739563,0.017098216,-4.638858795
59.67601776,0.028534353,101909.4766,282.6965637,1.232957125,2.578604937
70.21839142,0.029278338,102294.5625,271.6916199,1.096368551,1.631358981
91.35946655,0.102075681,102294.8281,265.149353,2.216394424,6.136488438
91.53327942,0.061392028,102427.8203,260.5816956,3.274420977,5.354557514
87.59389496,0.082109444,102414.5078,261.8805542,2.431769133,7.343760967
83.38487244,0.039361816,101905.7969,270.1170654,2.309657097,5.718327045
82.20493317,0.050273579,101754.7266,279.5018616,1.241918325,1.25904572
35.90268326,0.032758046,100981,290.7003784,1.166771412,0.977448165
38.72546768,0.005485811,100765.4766,294.8665771,0.273024768,-2.510127306
37.02148056,0.027769925,100446.2422,296.972229,-0.142576024,-5.568583012
40.65571213,0.021469586,100649.25,295.4350891,-0.237248868,-3.151109934
48.64250565,0.002343726,101275.0078,290.9352112,0.240880147,-1.624588728
55.25933838,0.034627669,101643.1875,283.8773499,1.695648432,0.845954299
